Location,Level,Job Type,Contract Type,Experience,Tech Stacks,Salary,Time
 Thành phố Hà Nội,Senior,In Office,Fulltime,5 years,"C#, Python, IT Security, Security Engineer, Application Security",1.500 USD to 2.200 USD,3 hours ago
 Thành phố Hà Nội,Senior,In Office,Fulltime,5 years,"IT Manager, IT Security, Security Engineer",1.500 USD to 2.200 USD,3 hours ago
 Thành phố Hà Nội,"Leader, Senior",In Office,Fulltime,3 years,"PHP, Java, JavaScript, Python",Negotiable,9 hours ago
 Thành phố Hà Nội,"Leader, Senior",In Office,Fulltime,3 years,"UML, Business Analyst, System Architect",Negotiable,9 hours ago
 Thành phố Hồ Chí Minh,"Junior, Middle",In Office,Fulltime,1 year,"JavaScript, Python, Golang, Back-End, Scala",750 USD to 1.200 USD,9 hours ago
 Thành phố Hồ Chí Minh,"Junior, Middle",In Office,Fulltime,1 year,"CSS, JavaScript, HTML, Front-End, ReactJS",750 USD to 1.200 USD,9 hours ago
 Thành phố Hà Nội,Senior,In Office,Fulltime,7 years,"Agile, Java, DevOps, AWS, Java Spring",Negotiable,9 hours ago
 Thành phố Hồ Chí Minh,Senior,In Office,Fulltime,3 years,".NET, Back-End, AWS, Azure",Negotiable,9 hours ago
 Thành phố Hồ Chí Minh,"Middle, Senior",In Office,Fulltime,3 years,"Agile, Mobile, Front-End, React Native",Negotiable,9 hours ago
 Thành phố Hà Nội,"Junior, Middle, Senior",In Office,Fulltime,1 year,"C#, SQL, .NET, Back-End",Negotiable,9 hours ago
 Thành phố Hồ Chí Minh,Senior,Hybrid,Fulltime,3 years,"SAP, ABAP",Negotiable,1 day ago
 Thành phố Hà Nội,Manager,Hybrid,Fulltime,5 years,"Manager, Project Manager, Japanese - N3, BrSE, BSE Leader",Negotiable,1 day ago
 Thành phố Hà Nội,"Junior, Middle, Senior",In Office,Fulltime,1 year,"Agile, QA, Waterfall",15.000.000 VND to 30.000.000 VND,1 day ago
 Thành phố Hà Nội,"Junior, Middle, Senior",In Office,Fulltime,1 year,"Android, iOS, Mobile, React Native, Flutter",Negotiable,1 day ago
 Thành phố Hà Nội,"Junior, Middle, Senior",In Office,Fulltime,1 year,"Fintech, Business Analyst, Core Banking",Negotiable,1 day ago
